"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Bosnia and Herz. (BA)","02.12.2021 19:00 - 02.12.2021 20:00 (CET)","N/A","1302","N/A","N/A","N/A","N/A","N/A","N/A","N/A","214","","130","673","N/A","N/A","N/A","N/A","n/e","N/A","n/e","96"
"Bosnia and Herz. (BA)","02.12.2021 20:00 - 02.12.2021 21:00 (CET)","N/A","1046","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2","","130","736","N/A","N/A","N/A","N/A","n/e","N/A","n/e","95"
"Bosnia and Herz. (BA)","02.12.2021 21:00 - 02.12.2021 22:00 (CET)","N/A","951","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","130","621","N/A","N/A","N/A","N/A","n/e","N/A","n/e","96"
"Bosnia and Herz. (BA)","02.12.2021 22:00 - 02.12.2021 23:00 (CET)","N/A","1054","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","140","518","N/A","N/A","N/A","N/A","n/e","N/A","n/e","93"
"Bosnia and Herz. (BA)","02.12.2021 23:00 - 03.12.2021 00:00 (CET)","N/A","1146","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","142","276","N/A","N/A","N/A","N/A","n/e","N/A","n/e","93"
"Bosnia and Herz. (BA)","03.12.2021 00:00 - 03.12.2021 01:00 (CET)","N/A","1146","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","131","249","N/A","N/A","N/A","N/A","n/e","N/A","n/e","94"
"Bosnia and Herz. (BA)","03.12.2021 01:00 - 03.12.2021 02:00 (CET)","N/A","1145","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","129","206","N/A","N/A","N/A","N/A","n/e","N/A","n/e","79"
"Bosnia and Herz. (BA)","03.12.2021 02:00 - 03.12.2021 03:00 (CET)","N/A","1148","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","124","206","N/A","N/A","N/A","N/A","n/e","N/A","n/e","66"
"Bosnia and Herz. (BA)","03.12.2021 03:00 - 03.12.2021 04:00 (CET)","N/A","1148","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","125","225","N/A","N/A","N/A","N/A","n/e","N/A","n/e","60"
"Bosnia and Herz. (BA)","03.12.2021 04:00 - 03.12.2021 05:00 (CET)","N/A","1152","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","138","226","N/A","N/A","N/A","N/A","n/e","N/A","n/e","37"
"Bosnia and Herz. (BA)","03.12.2021 05:00 - 03.12.2021 06:00 (CET)","N/A","1171","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","140","254","N/A","N/A","N/A","N/A","n/e","N/A","n/e","36"
"Bosnia and Herz. (BA)","03.12.2021 06:00 - 03.12.2021 07:00 (CET)","N/A","1171","N/A","N/A","N/A","N/A","N/A","N/A","N/A","102","","140","312","N/A","N/A","N/A","N/A","n/e","N/A","n/e","29"
"Bosnia and Herz. (BA)","03.12.2021 07:00 - 03.12.2021 08:00 (CET)","N/A","1159","N/A","N/A","N/A","N/A","N/A","N/A","N/A","219","","142","477","N/A","N/A","N/A","N/A","n/e","N/A","n/e","34"
"Bosnia and Herz. (BA)","03.12.2021 08:00 - 03.12.2021 09:00 (CET)","N/A","1137","N/A","N/A","N/A","N/A","N/A","N/A","N/A","220","","141","655","N/A","N/A","N/A","N/A","n/e","N/A","n/e","53"
"Bosnia and Herz. (BA)","03.12.2021 09:00 - 03.12.2021 10:00 (CET)","N/A","1149","N/A","N/A","N/A","N/A","N/A","N/A","N/A","219","","144","625","N/A","N/A","N/A","N/A","n/e","N/A","n/e","68"
"Bosnia and Herz. (BA)","03.12.2021 10:00 - 03.12.2021 11:00 (CET)","N/A","1164","N/A","N/A","N/A","N/A","N/A","N/A","N/A","219","","158","570","N/A","N/A","N/A","N/A","n/e","N/A","n/e","71"
"Bosnia and Herz. (BA)","03.12.2021 11:00 - 03.12.2021 12:00 (CET)","N/A","1164","N/A","N/A","N/A","N/A","N/A","N/A","N/A","218","","146","567","N/A","N/A","N/A","N/A","n/e","N/A","n/e","80"
"Bosnia and Herz. (BA)","03.12.2021 12:00 - 03.12.2021 13:00 (CET)","N/A","1168","N/A","N/A","N/A","N/A","N/A","N/A","N/A","209","","141","599","N/A","N/A","N/A","N/A","n/e","N/A","n/e","86"
"Bosnia and Herz. (BA)","03.12.2021 13:00 - 03.12.2021 14:00 (CET)","N/A","1170","N/A","N/A","N/A","N/A","N/A","N/A","N/A","215","","140","537","N/A","N/A","N/A","N/A","n/e","N/A","n/e","84"
"Bosnia and Herz. (BA)","03.12.2021 14:00 - 03.12.2021 15:00 (CET)","N/A","1207","N/A","N/A","N/A","N/A","N/A","N/A","N/A","217","","140","551","N/A","N/A","N/A","N/A","n/e","N/A","n/e","89"
"Bosnia and Herz. (BA)","03.12.2021 15:00 - 03.12.2021 16:00 (CET)","N/A","1203","N/A","N/A","N/A","N/A","N/A","N/A","N/A","217","","141","755","N/A","N/A","N/A","N/A","n/e","N/A","n/e","92"
