"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Bosnia and Herz. (BA)","01.01.2021 00:00 - 01.01.2021 01:00 (CET)","N/A","270","N/A","N/A","870","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1064","N/A","N/A","N/A","N/A","n/e","N/A","n/e","3"
"Bosnia and Herz. (BA)","01.01.2021 01:00 - 01.01.2021 02:00 (CET)","N/A","270","N/A","N/A","868","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1014","N/A","N/A","N/A","N/A","n/e","N/A","n/e","3"
"Bosnia and Herz. (BA)","01.01.2021 02:00 - 01.01.2021 03:00 (CET)","N/A","270","N/A","N/A","866","N/A","N/A","N/A","N/A","N/A","N/A","N/A","936","N/A","N/A","N/A","N/A","n/e","N/A","n/e","3"
"Bosnia and Herz. (BA)","01.01.2021 03:00 - 01.01.2021 04:00 (CET)","N/A","270","N/A","N/A","869","N/A","N/A","N/A","N/A","N/A","N/A","N/A","870","N/A","N/A","N/A","N/A","n/e","N/A","n/e","4"
"Bosnia and Herz. (BA)","01.01.2021 04:00 - 01.01.2021 05:00 (CET)","N/A","183","N/A","N/A","867","N/A","N/A","N/A","N/A","N/A","N/A","N/A","841","N/A","N/A","N/A","N/A","n/e","N/A","n/e","5"
"Bosnia and Herz. (BA)","01.01.2021 05:00 - 01.01.2021 06:00 (CET)","N/A","57","N/A","N/A","899","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1018","N/A","N/A","N/A","N/A","n/e","N/A","n/e","3"
"Bosnia and Herz. (BA)","01.01.2021 06:00 - 01.01.2021 07:00 (CET)","N/A","0","N/A","N/A","923","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1071","N/A","N/A","N/A","N/A","n/e","N/A","n/e","5"
"Bosnia and Herz. (BA)","01.01.2021 07:00 - 01.01.2021 08:00 (CET)","N/A","70","N/A","N/A","922","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1117","N/A","N/A","N/A","N/A","n/e","N/A","n/e","10"
"Bosnia and Herz. (BA)","01.01.2021 08:00 - 01.01.2021 09:00 (CET)","N/A","144","N/A","N/A","926","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1090","N/A","N/A","N/A","N/A","n/e","N/A","n/e","11"
"Bosnia and Herz. (BA)","01.01.2021 09:00 - 01.01.2021 10:00 (CET)","N/A","235","N/A","N/A","909","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1147","N/A","N/A","N/A","N/A","n/e","N/A","n/e","9"
"Bosnia and Herz. (BA)","01.01.2021 10:00 - 01.01.2021 11:00 (CET)","N/A","272","N/A","N/A","865","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1249","N/A","N/A","N/A","N/A","n/e","N/A","n/e","6"
"Bosnia and Herz. (BA)","01.01.2021 11:00 - 01.01.2021 12:00 (CET)","N/A","273","N/A","N/A","866","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1308","N/A","N/A","N/A","N/A","n/e","N/A","n/e","9"
"Bosnia and Herz. (BA)","01.01.2021 12:00 - 01.01.2021 13:00 (CET)","N/A","273","N/A","N/A","869","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1233","N/A","N/A","N/A","N/A","n/e","N/A","n/e","15"
"Bosnia and Herz. (BA)","01.01.2021 13:00 - 01.01.2021 14:00 (CET)","N/A","272","N/A","N/A","870","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1188","N/A","N/A","N/A","N/A","n/e","N/A","n/e","18"
"Bosnia and Herz. (BA)","01.01.2021 14:00 - 01.01.2021 15:00 (CET)","N/A","273","N/A","N/A","707","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1205","N/A","N/A","N/A","N/A","n/e","N/A","n/e","27"
"Bosnia and Herz. (BA)","01.01.2021 15:00 - 01.01.2021 16:00 (CET)","N/A","0","N/A","N/A","1035","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1216","N/A","N/A","N/A","N/A","n/e","N/A","n/e","42"
"Bosnia and Herz. (BA)","01.01.2021 16:00 - 01.01.2021 17:00 (CET)","N/A","273","N/A","N/A","858","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1110","N/A","N/A","N/A","N/A","n/e","N/A","n/e","42"
"Bosnia and Herz. (BA)","01.01.2021 17:00 - 01.01.2021 18:00 (CET)","N/A","273","N/A","N/A","672","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1394","N/A","N/A","N/A","N/A","n/e","N/A","n/e","41"
"Bosnia and Herz. (BA)","01.01.2021 18:00 - 01.01.2021 19:00 (CET)","N/A","273","N/A","N/A","1057","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1342","N/A","N/A","N/A","N/A","n/e","N/A","n/e","41"
"Bosnia and Herz. (BA)","01.01.2021 19:00 - 01.01.2021 20:00 (CET)","N/A","273","N/A","N/A","859","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1362","N/A","N/A","N/A","N/A","n/e","N/A","n/e","41"
"Bosnia and Herz. (BA)","01.01.2021 20:00 - 01.01.2021 21:00 (CET)","N/A","273","N/A","N/A","863","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1142","N/A","N/A","N/A","N/A","n/e","N/A","n/e","37"
"Bosnia and Herz. (BA)","01.01.2021 21:00 - 01.01.2021 22:00 (CET)","N/A","273","N/A","N/A","867","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1105","N/A","N/A","N/A","N/A","n/e","N/A","n/e","35"
"Bosnia and Herz. (BA)","01.01.2021 22:00 - 01.01.2021 23:00 (CET)","N/A","273","N/A","N/A","876","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1251","N/A","N/A","N/A","N/A","n/e","N/A","n/e","35"
"Bosnia and Herz. (BA)","01.01.2021 23:00 - 02.01.2021 00:00 (CET)","N/A","477","N/A","N/A","874","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1089","N/A","N/A","N/A","N/A","n/e","N/A","n/e","32"
"Bosnia and Herz. (BA)","02.01.2021 00:00 - 02.01.2021 01:00 (CET)","N/A","273","N/A","N/A","863","N/A","N/A","N/A","N/A","N/A","N/A","N/A","892","N/A","N/A","N/A","N/A","n/e","N/A","n/e","39"
"Bosnia and Herz. (BA)","02.01.2021 01:00 - 02.01.2021 02:00 (CET)","N/A","273","N/A","N/A","860","N/A","N/A","N/A","N/A","N/A","N/A","N/A","828","N/A","N/A","N/A","N/A","n/e","N/A","n/e","37"
"Bosnia and Herz. (BA)","02.01.2021 02:00 - 02.01.2021 03:00 (CET)","N/A","0","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","02.01.2021 03:00 - 02.01.2021 04:00 (CET)","N/A","0","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","02.01.2021 04:00 - 02.01.2021 05:00 (CET)","N/A","0","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","02.01.2021 05:00 - 02.01.2021 06:00 (CET)","N/A","0","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","02.01.2021 06:00 - 02.01.2021 07:00 (CET)","N/A","0","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","02.01.2021 07:00 - 02.01.2021 08:00 (CET)","N/A","273","N/A","N/A","856","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1043","N/A","N/A","N/A","N/A","n/e","N/A","n/e","40"
"Bosnia and Herz. (BA)","02.01.2021 08:00 - 02.01.2021 09:00 (CET)","N/A","272","N/A","N/A","860","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1223","N/A","N/A","N/A","N/A","n/e","N/A","n/e","42"
"Bosnia and Herz. (BA)","02.01.2021 09:00 - 02.01.2021 10:00 (CET)","N/A","273","N/A","N/A","864","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1281","N/A","N/A","N/A","N/A","n/e","N/A","n/e","39"
"Bosnia and Herz. (BA)","02.01.2021 10:00 - 02.01.2021 11:00 (CET)","N/A","273","N/A","N/A","864","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1297","N/A","N/A","N/A","N/A","n/e","N/A","n/e","41"
"Bosnia and Herz. (BA)","02.01.2021 11:00 - 02.01.2021 12:00 (CET)","N/A","273","N/A","N/A","870","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1293","N/A","N/A","N/A","N/A","n/e","N/A","n/e","40"
"Bosnia and Herz. (BA)","02.01.2021 12:00 - 02.01.2021 13:00 (CET)","N/A","273","N/A","N/A","866","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1280","N/A","N/A","N/A","N/A","n/e","N/A","n/e","40"
"Bosnia and Herz. (BA)","02.01.2021 13:00 - 02.01.2021 14:00 (CET)","N/A","273","N/A","N/A","859","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1347","N/A","N/A","N/A","N/A","n/e","N/A","n/e","38"
"Bosnia and Herz. (BA)","02.01.2021 14:00 - 02.01.2021 15:00 (CET)","N/A","273","N/A","N/A","859","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1290","N/A","N/A","N/A","N/A","n/e","N/A","n/e","39"
"Bosnia and Herz. (BA)","02.01.2021 15:00 - 02.01.2021 16:00 (CET)","N/A","272","N/A","N/A","852","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1350","N/A","N/A","N/A","N/A","n/e","N/A","n/e","39"
"Bosnia and Herz. (BA)","02.01.2021 16:00 - 02.01.2021 17:00 (CET)","N/A","273","N/A","N/A","848","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1392","N/A","N/A","N/A","N/A","n/e","N/A","n/e","41"
"Bosnia and Herz. (BA)","02.01.2021 17:00 - 02.01.2021 18:00 (CET)","N/A","272","N/A","N/A","854","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1402","N/A","N/A","N/A","N/A","n/e","N/A","n/e","40"
"Bosnia and Herz. (BA)","02.01.2021 18:00 - 02.01.2021 19:00 (CET)","N/A","273","N/A","N/A","850","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1361","N/A","N/A","N/A","N/A","n/e","N/A","n/e","41"
"Bosnia and Herz. (BA)","02.01.2021 19:00 - 02.01.2021 20:00 (CET)","N/A","272","N/A","N/A","864","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1307","N/A","N/A","N/A","N/A","n/e","N/A","n/e","41"
"Bosnia and Herz. (BA)","02.01.2021 20:00 - 02.01.2021 21:00 (CET)","N/A","272","N/A","N/A","862","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1292","N/A","N/A","N/A","N/A","n/e","N/A","n/e","41"
"Bosnia and Herz. (BA)","02.01.2021 21:00 - 02.01.2021 22:00 (CET)","N/A","272","N/A","N/A","865","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1186","N/A","N/A","N/A","N/A","n/e","N/A","n/e","39"
"Bosnia and Herz. (BA)","02.01.2021 22:00 - 02.01.2021 23:00 (CET)","N/A","273","N/A","N/A","863","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1176","N/A","N/A","N/A","N/A","n/e","N/A","n/e","22"
"Bosnia and Herz. (BA)","02.01.2021 23:00 - 03.01.2021 00:00 (CET)","N/A","273","N/A","N/A","852","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1130","N/A","N/A","N/A","N/A","n/e","N/A","n/e","13"
"Bosnia and Herz. (BA)","03.01.2021 00:00 - 03.01.2021 01:00 (CET)","N/A","271","N/A","N/A","849","N/A","N/A","N/A","N/A","N/A","N/A","N/A","924","N/A","N/A","N/A","N/A","n/e","N/A","n/e","26"
"Bosnia and Herz. (BA)","03.01.2021 01:00 - 03.01.2021 02:00 (CET)","N/A","270","N/A","N/A","852","N/A","N/A","N/A","N/A","N/A","N/A","N/A","810","N/A","N/A","N/A","N/A","n/e","N/A","n/e","25"
"Bosnia and Herz. (BA)","03.01.2021 02:00 - 03.01.2021 03:00 (CET)","N/A","271","N/A","N/A","857","N/A","N/A","N/A","N/A","N/A","N/A","N/A","629","N/A","N/A","N/A","N/A","n/e","N/A","n/e","24"
"Bosnia and Herz. (BA)","03.01.2021 03:00 - 03.01.2021 04:00 (CET)","N/A","270","N/A","N/A","821","N/A","N/A","N/A","N/A","N/A","N/A","N/A","494","N/A","N/A","N/A","N/A","n/e","N/A","n/e","15"
"Bosnia and Herz. (BA)","03.01.2021 04:00 - 03.01.2021 05:00 (CET)","N/A","272","N/A","N/A","857","N/A","N/A","N/A","N/A","N/A","N/A","N/A","548","N/A","N/A","N/A","N/A","n/e","N/A","n/e","9"
"Bosnia and Herz. (BA)","03.01.2021 05:00 - 03.01.2021 06:00 (CET)","N/A","272","N/A","N/A","856","N/A","N/A","N/A","N/A","N/A","N/A","N/A","628","N/A","N/A","N/A","N/A","n/e","N/A","n/e","13"
"Bosnia and Herz. (BA)","03.01.2021 06:00 - 03.01.2021 07:00 (CET)","N/A","272","N/A","N/A","856","N/A","N/A","N/A","N/A","N/A","N/A","N/A","741","N/A","N/A","N/A","N/A","n/e","N/A","n/e","16"
"Bosnia and Herz. (BA)","03.01.2021 07:00 - 03.01.2021 08:00 (CET)","N/A","273","N/A","N/A","854","N/A","N/A","N/A","N/A","N/A","N/A","N/A","884","N/A","N/A","N/A","N/A","n/e","N/A","n/e","20"
"Bosnia and Herz. (BA)","03.01.2021 08:00 - 03.01.2021 09:00 (CET)","N/A","273","N/A","N/A","853","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1011","N/A","N/A","N/A","N/A","n/e","N/A","n/e","26"
"Bosnia and Herz. (BA)","03.01.2021 09:00 - 03.01.2021 10:00 (CET)","N/A","273","N/A","N/A","865","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1097","N/A","N/A","N/A","N/A","n/e","N/A","n/e","25"
"Bosnia and Herz. (BA)","03.01.2021 10:00 - 03.01.2021 11:00 (CET)","N/A","272","N/A","N/A","905","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1096","N/A","N/A","N/A","N/A","n/e","N/A","n/e","13"
"Bosnia and Herz. (BA)","03.01.2021 11:00 - 03.01.2021 12:00 (CET)","N/A","273","N/A","N/A","928","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1088","N/A","N/A","N/A","N/A","n/e","N/A","n/e","16"
"Bosnia and Herz. (BA)","03.01.2021 12:00 - 03.01.2021 13:00 (CET)","N/A","273","N/A","N/A","932","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1105","N/A","N/A","N/A","N/A","n/e","N/A","n/e","10"
"Bosnia and Herz. (BA)","03.01.2021 13:00 - 03.01.2021 14:00 (CET)","N/A","273","N/A","N/A","930","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1117","N/A","N/A","N/A","N/A","n/e","N/A","n/e","2"
"Bosnia and Herz. (BA)","03.01.2021 14:00 - 03.01.2021 15:00 (CET)","N/A","273","N/A","N/A","927","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1116","N/A","N/A","N/A","N/A","n/e","N/A","n/e","9"
"Bosnia and Herz. (BA)","03.01.2021 15:00 - 03.01.2021 16:00 (CET)","N/A","272","N/A","N/A","928","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1096","N/A","N/A","N/A","N/A","n/e","N/A","n/e","29"
"Bosnia and Herz. (BA)","03.01.2021 16:00 - 03.01.2021 17:00 (CET)","N/A","273","N/A","N/A","885","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1290","N/A","N/A","N/A","N/A","n/e","N/A","n/e","33"
"Bosnia and Herz. (BA)","03.01.2021 17:00 - 03.01.2021 18:00 (CET)","N/A","272","N/A","N/A","714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1578","N/A","N/A","N/A","N/A","n/e","N/A","n/e","18"
"Bosnia and Herz. (BA)","03.01.2021 18:00 - 03.01.2021 19:00 (CET)","N/A","272","N/A","N/A","716","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1630","N/A","N/A","N/A","N/A","n/e","N/A","n/e","19"
"Bosnia and Herz. (BA)","03.01.2021 19:00 - 03.01.2021 20:00 (CET)","N/A","272","N/A","N/A","723","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1558","N/A","N/A","N/A","N/A","n/e","N/A","n/e","14"
"Bosnia and Herz. (BA)","03.01.2021 20:00 - 03.01.2021 21:00 (CET)","N/A","273","N/A","N/A","720","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1421","N/A","N/A","N/A","N/A","n/e","N/A","n/e","34"
"Bosnia and Herz. (BA)","03.01.2021 21:00 - 03.01.2021 22:00 (CET)","N/A","272","N/A","N/A","722","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1306","N/A","N/A","N/A","N/A","n/e","N/A","n/e","33"
"Bosnia and Herz. (BA)","03.01.2021 22:00 - 03.01.2021 23:00 (CET)","N/A","273","N/A","N/A","730","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1190","N/A","N/A","N/A","N/A","n/e","N/A","n/e","39"
"Bosnia and Herz. (BA)","03.01.2021 23:00 - 04.01.2021 00:00 (CET)","N/A","272","N/A","N/A","722","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1129","N/A","N/A","N/A","N/A","n/e","N/A","n/e","29"
"Bosnia and Herz. (BA)","04.01.2021 00:00 - 04.01.2021 01:00 (CET)","N/A","273","N/A","N/A","726","N/A","N/A","N/A","N/A","N/A","N/A","N/A","985","N/A","N/A","N/A","N/A","n/e","N/A","n/e","23"
"Bosnia and Herz. (BA)","04.01.2021 01:00 - 04.01.2021 02:00 (CET)","N/A","272","N/A","N/A","715","N/A","N/A","N/A","N/A","N/A","N/A","N/A","959","N/A","N/A","N/A","N/A","n/e","N/A","n/e","29"
"Bosnia and Herz. (BA)","04.01.2021 02:00 - 04.01.2021 03:00 (CET)","N/A","272","N/A","N/A","722","N/A","N/A","N/A","N/A","N/A","N/A","N/A","900","N/A","N/A","N/A","N/A","n/e","N/A","n/e","26"
"Bosnia and Herz. (BA)","04.01.2021 03:00 - 04.01.2021 04:00 (CET)","N/A","272","N/A","N/A","704","N/A","N/A","N/A","N/A","N/A","N/A","N/A","912","N/A","N/A","N/A","N/A","n/e","N/A","n/e","16"
"Bosnia and Herz. (BA)","04.01.2021 04:00 - 04.01.2021 05:00 (CET)","N/A","273","N/A","N/A","717","N/A","N/A","N/A","N/A","N/A","N/A","N/A","924","N/A","N/A","N/A","N/A","n/e","N/A","n/e","12"
"Bosnia and Herz. (BA)","04.01.2021 05:00 - 04.01.2021 06:00 (CET)","N/A","272","N/A","N/A","767","N/A","N/A","N/A","N/A","N/A","N/A","N/A","935","N/A","N/A","N/A","N/A","n/e","N/A","n/e","12"
"Bosnia and Herz. (BA)","04.01.2021 06:00 - 04.01.2021 07:00 (CET)","N/A","273","N/A","N/A","804","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1144","N/A","N/A","N/A","N/A","n/e","N/A","n/e","11"
"Bosnia and Herz. (BA)","04.01.2021 07:00 - 04.01.2021 08:00 (CET)","N/A","272","N/A","N/A","829","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1278","N/A","N/A","N/A","N/A","n/e","N/A","n/e","10"
"Bosnia and Herz. (BA)","04.01.2021 08:00 - 04.01.2021 09:00 (CET)","N/A","273","N/A","N/A","884","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1536","N/A","N/A","N/A","N/A","n/e","N/A","n/e","4"
"Bosnia and Herz. (BA)","04.01.2021 09:00 - 04.01.2021 10:00 (CET)","N/A","272","N/A","N/A","942","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1540","N/A","N/A","N/A","N/A","n/e","N/A","n/e","2"
"Bosnia and Herz. (BA)","04.01.2021 10:00 - 04.01.2021 11:00 (CET)","N/A","272","N/A","N/A","966","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1574","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.01.2021 11:00 - 04.01.2021 12:00 (CET)","N/A","273","N/A","N/A","964","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1602","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.01.2021 12:00 - 04.01.2021 13:00 (CET)","N/A","273","N/A","N/A","976","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1581","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.01.2021 13:00 - 04.01.2021 14:00 (CET)","N/A","273","N/A","N/A","966","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1554","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.01.2021 14:00 - 04.01.2021 15:00 (CET)","N/A","273","N/A","N/A","961","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1556","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.01.2021 15:00 - 04.01.2021 16:00 (CET)","N/A","272","N/A","N/A","950","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1587","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.01.2021 16:00 - 04.01.2021 17:00 (CET)","N/A","272","N/A","N/A","979","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1687","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.01.2021 17:00 - 04.01.2021 18:00 (CET)","N/A","273","N/A","N/A","980","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1672","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.01.2021 18:00 - 04.01.2021 19:00 (CET)","N/A","273","N/A","N/A","963","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1641","N/A","N/A","N/A","N/A","n/e","N/A","n/e","3"
"Bosnia and Herz. (BA)","04.01.2021 19:00 - 04.01.2021 20:00 (CET)","N/A","273","N/A","N/A","953","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1598","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.01.2021 20:00 - 04.01.2021 21:00 (CET)","N/A","272","N/A","N/A","951","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1320","N/A","N/A","N/A","N/A","n/e","N/A","n/e","1"
"Bosnia and Herz. (BA)","04.01.2021 21:00 - 04.01.2021 22:00 (CET)","N/A","273","N/A","N/A","961","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1203","N/A","N/A","N/A","N/A","n/e","N/A","n/e","1"
"Bosnia and Herz. (BA)","04.01.2021 22:00 - 04.01.2021 23:00 (CET)","N/A","273","N/A","N/A","954","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1108","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","04.01.2021 23:00 - 05.01.2021 00:00 (CET)","N/A","272","N/A","N/A","941","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1038","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","05.01.2021 00:00 - 05.01.2021 01:00 (CET)","N/A","271","N/A","N/A","891","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1010","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","05.01.2021 01:00 - 05.01.2021 02:00 (CET)","N/A","270","N/A","N/A","868","N/A","N/A","N/A","N/A","N/A","N/A","N/A","952","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","05.01.2021 02:00 - 05.01.2021 03:00 (CET)","N/A","270","N/A","N/A","866","N/A","N/A","N/A","N/A","N/A","N/A","N/A","943","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","05.01.2021 03:00 - 05.01.2021 04:00 (CET)","N/A","270","N/A","N/A","883","N/A","N/A","N/A","N/A","N/A","N/A","N/A","902","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","05.01.2021 04:00 - 05.01.2021 05:00 (CET)","N/A","272","N/A","N/A","902","N/A","N/A","N/A","N/A","N/A","N/A","N/A","904","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","05.01.2021 05:00 - 05.01.2021 06:00 (CET)","N/A","272","N/A","N/A","947","N/A","N/A","N/A","N/A","N/A","N/A","N/A","909","N/A","N/A","N/A","N/A","n/e","N/A","n/e","0"
"Bosnia and Herz. (BA)","05.01.2021 06:00 - 05.01.2021 07:00 (CET)","N/A","273","N/A","N/A","995","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1048","N/A","N/A","N/A","N/A","n/e","N/A","n/e","1"
"Bosnia and Herz. (BA)","05.01.2021 07:00 - 05.01.2021 08:00 (CET)","N/A","272","N/A","N/A","1085","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1150","N/A","N/A","N/A","N/A","n/e","N/A","n/e","3"
"Bosnia and Herz. (BA)","05.01.2021 08:00 - 05.01.2021 09:00 (CET)","N/A","273","N/A","N/A","1153","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1373","N/A","N/A","N/A","N/A","n/e","N/A","n/e","7"
"Bosnia and Herz. (BA)","05.01.2021 09:00 - 05.01.2021 10:00 (CET)","N/A","273","N/A","N/A","1168","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1431","N/A","N/A","N/A","N/A","n/e","N/A","n/e","8"
"Bosnia and Herz. (BA)","05.01.2021 10:00 - 05.01.2021 11:00 (CET)","N/A","273","N/A","N/A","1176","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1400","N/A","N/A","N/A","N/A","n/e","N/A","n/e","9"
"Bosnia and Herz. (BA)","05.01.2021 11:00 - 05.01.2021 12:00 (CET)","N/A","273","N/A","N/A","1193","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1385","N/A","N/A","N/A","N/A","n/e","N/A","n/e","15"
"Bosnia and Herz. (BA)","05.01.2021 12:00 - 05.01.2021 13:00 (CET)","N/A","273","N/A","N/A","1204","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1348","N/A","N/A","N/A","N/A","n/e","N/A","n/e","25"
"Bosnia and Herz. (BA)","05.01.2021 13:00 - 05.01.2021 14:00 (CET)","N/A","273","N/A","N/A","1211","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1418","N/A","N/A","N/A","N/A","n/e","N/A","n/e","28"
