YEAR;MO;DY;HR;T2M
2018;1;9;19;6.09
2018;1;9;20;6.11
2018;1;9;21;6.19
2018;1;9;22;6.25
2018;1;9;23;6.19
2018;1;10;0;6.14
2018;1;10;1;6.12
2018;1;10;2;5.99
2018;1;10;3;5.87
2018;1;10;4;5.85
2018;1;10;5;5.94
2018;1;10;6;6.05
2018;1;10;7;6.23
2018;1;10;8;6.7
2018;1;10;9;7.38
2018;1;10;10;8.23
2018;1;10;11;8.71
2018;1;10;12;8.9
2018;1;10;13;8.6
2018;1;10;14;7.78
2018;1;10;15;7.13
2018;1;10;16;6.37
2018;1;10;17;5.81
2018;1;10;18;5.5
2018;1;10;19;5.36
2018;1;10;20;5.05
2018;1;10;21;4.59
2018;1;10;22;4.12
2018;1;10;23;3.69
2018;1;11;0;3.28
2018;1;11;1;2.94
2018;1;11;2;2.67
2018;1;11;3;2.52
2018;1;11;4;2.34
2018;1;11;5;2.07
2018;1;11;6;1.78
2018;1;11;7;1.44
2018;1;11;8;1.8
2018;1;11;9;2.65
2018;1;11;10;3.76
2018;1;11;11;4.58
2018;1;11;12;4.85
2018;1;11;13;4.59
2018;1;11;14;3.85
2018;1;11;15;2.76
2018;1;11;16;1.47
2018;1;11;17;1.11
2018;1;11;18;1.05
2018;1;11;19;0.88
2018;1;11;20;0.81
2018;1;11;21;0.49
2018;1;11;22;0.4
2018;1;11;23;0.33
2018;1;12;0;0.3
2018;1;12;1;0.31
2018;1;12;2;0.3
2018;1;12;3;0.33
2018;1;12;4;0.36
2018;1;12;5;0.33
2018;1;12;6;0.37
2018;1;12;7;0.48
2018;1;12;8;0.81
2018;1;12;9;1.49
2018;1;12;10;2.31
2018;1;12;11;2.85
2018;1;12;12;2.99
2018;1;12;13;2.83
2018;1;12;14;2.37
2018;1;12;15;1.55
2018;1;12;16;0.48
2018;1;12;17;0.51
2018;1;12;18;0.68
2018;1;12;19;0.67
2018;1;12;20;0.54
2018;1;12;21;0.39
2018;1;12;22;0.23
2018;1;12;23;0.04
2018;1;13;0;-0.1
2018;1;13;1;-0.24
2018;1;13;2;-0.47
2018;1;13;3;-0.67
2018;1;13;4;-0.9
2018;1;13;5;-1.12
2018;1;13;6;-1.39
2018;1;13;7;-1.52
2018;1;13;8;-0.97
2018;1;13;9;0.31
2018;1;13;10;2.07
2018;1;13;11;3.62
2018;1;13;12;4.45
2018;1;13;13;4.48
2018;1;13;14;3.78
2018;1;13;15;2.38
2018;1;13;16;0.12
2018;1;13;17;-1.18
2018;1;13;18;-1.97
2018;1;13;19;-2.31
2018;1;13;20;-2.49
2018;1;13;21;-2.74
2018;1;13;22;-3.11
2018;1;13;23;-3.38
2018;1;14;0;-3.56
2018;1;14;1;-3.7
2018;1;14;2;-3.85
2018;1;14;3;-3.92
2018;1;14;4;-3.9
2018;1;14;5;-3.78
2018;1;14;6;-3.63
2018;1;14;7;-3.27
2018;1;14;8;-1.74
2018;1;14;9;0.05
2018;1;14;10;1.12
2018;1;14;11;1.69
2018;1;14;12;1.63
2018;1;14;13;1.1
2018;1;14;14;0.4
2018;1;14;15;-0.62
2018;1;14;16;-1.82
2018;1;14;17;-2.37
2018;1;14;18;-2.66
2018;1;14;19;-2.86
2018;1;14;20;-3.08
2018;1;14;21;-3.17
2018;1;14;22;-3.2
2018;1;14;23;-3.13
2018;1;15;0;-2.99
2018;1;15;1;-2.95
2018;1;15;2;-2.87
2018;1;15;3;-2.73
2018;1;15;4;-2.7
2018;1;15;5;-2.77
2018;1;15;6;-2.74
2018;1;15;7;-2.41
2018;1;15;8;-0.99
2018;1;15;9;0.72
2018;1;15;10;1.64
2018;1;15;11;1.9
2018;1;15;12;1.8
2018;1;15;13;1.58
2018;1;15;14;1.1
2018;1;15;15;-0.01
2018;1;15;16;-1.54
2018;1;15;17;-2.27
2018;1;15;18;-2.55
2018;1;15;19;-2.72
2018;1;15;20;-2.76
2018;1;15;21;-2.45
2018;1;15;22;-2.19
2018;1;15;23;-2.03
2018;1;16;0;-1.93
2018;1;16;1;-1.81
2018;1;16;2;-1.54
2018;1;16;3;-1.24
2018;1;16;4;-0.77
2018;1;16;5;-0.4
2018;1;16;6;-0.05
2018;1;16;7;0.32
2018;1;16;8;0.95
2018;1;16;9;1.68
